matern32,,,,SquaredExp,,,,RationalQuad,,,,Matern52,,,,Gamma,,,,Ensemble,,,
Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.
12, [ 0.20750936  0.20692939]. ,1.21997748637,1.21997748637,12, [ 0.98009519  0.95116525]. ,0.0403686045648,1.16776151885,12, [ 0.22989265  0.20045401]. ,1.21027386904,1.21027386904,12, [ 0.82119828  0.00156511]. ,0.213069226987,1.21967481427,12, [ 0.68814015  1.        ]. ,0.0959907368923,1.21126978096,12, [ 0.23294989  0.16562686]. ,1.18269368301,1.21813622926
13, [ 0.19432912  0.2206786 ]. ,1.21550220121,1.21997748637,13, [ 0.88973898  0.57830665]. ,0.19206907522,1.16776151885,13, [ 0.98452795  0.39753514]. ,0.258783883738,1.21027386904,13, [ 0.97898112  0.6034931 ]. ,0.105532922862,1.21967481427,13, [ 0.2079284  0.2105335]. ,1.21988776397,1.21988776397,13, [ 0.21971092  0.21505993]. ,1.21647365049,1.21813622926
14, [ 0.20595697  0.20818906]. ,1.22003226479,1.22003226479,14, [  7.74360386e-01   5.09989016e-04]. ,0.239214021203,1.16776151885,14, [ 0.24305789  0.22266962]. ,1.19600946619,1.21027386904,14, [ 0.00436327  0.16695309]. ,0.84086400901,1.21967481427,14, [ 0.18512183  0.17297039]. ,1.19703358475,1.21988776397,14, [ 0.18945976  0.24327802]. ,1.19725113729,1.21813622926
15, [ 0.20607395  0.20806179]. ,1.22003246621,1.22003246621,15, [ 0.09452876  0.47292012]. ,0.564463619119,1.16776151885,15, [ 0.56615008  0.99581622]. ,0.128176676453,1.21027386904,15, [ 0.26532614  0.60155388]. ,0.350711289898,1.21967481427,15, [ 0.19922533  0.27662819]. ,1.15057142909,1.21988776397,15, [ 0.19424514  0.19940305]. ,1.21694463211,1.21813622926
16, [ 0.20612671  0.20800503]. ,1.22003225718,1.22003246621,16, [ 0.28804401  0.79077681]. ,0.222995177392,1.16776151885,16, [ 0.20093872  0.19502171]. ,1.2172301556,1.2172301556,16, [ 0.63024722  0.24838361]. ,0.522195952611,1.21967481427,16, [ 0.16541355  0.22212408]. ,1.19243289751,1.21988776397,16, [ 0.26220383  0.22293451]. ,1.16890303883,1.21813622926
17, [ 0.20615077  0.20798082]. ,1.22003210419,1.22003246621,17, [ 0.58610712  0.31902727]. ,0.507120006968,1.16776151885,17, [ 0.27084404  0.14947046]. ,1.10975644261,1.2172301556,17, [ 0.16988101  0.1949752 ]. ,1.19886304883,1.21967481427,17, [ 0.22493379  0.24294806]. ,1.19674417968,1.21988776397,17, [ 0.20764257  0.20658872]. ,1.21995751344,1.21995751344
18, [ 0.20616002  0.20796932]. ,1.22003203039,1.22003246621,18, [ 0.90922393  0.91130816]. ,0.0538659355721,1.16776151885,18, [ 0.15700406  0.24542876]. ,1.16398020515,1.2172301556,18, [ 0.2187098   0.18283778]. ,1.20810809795,1.21967481427,18, [ 0.01892658  0.21477659]. ,0.868352675408,1.21988776397,18, [ 0.17227267  0.18547109]. ,1.19690595848,1.21995751344
19, [ 0.20616623  0.20796268]. ,1.22003198005,1.22003246621,19, [ 0.63192428  0.11042764]. ,0.384942534537,1.16776151885,19, [ 0.99997215  0.80070713]. ,0.0451002790987,1.2172301556,19, [ 0.59691069  0.9995577 ]. ,0.119842706452,1.21967481427,19, [ 0.23331197  0.19540014]. ,1.20598972887,1.21988776397,19, [ 0.20959234  0.22954133]. ,1.21301843759,1.21995751344
20, [ 0.20616757  0.20795857]. ,1.22003196135,1.22003246621,20, [ 0.50676286  0.75452368]. ,0.0119550479532,1.16776151885,20, [ 0.19789269  0.21683892]. ,1.21783919921,1.21783919921,20, [ 0.22431856  0.22607907]. ,1.21022589421,1.21967481427,20, [ 0.26732462  0.22641058]. ,1.15834272557,1.21988776397,20, [ 0.21342771  0.18006276]. ,1.20772744386,1.21995751344
21, [ -6.93889390e-18   1.00000000e+00]. ,0.270337161488,1.22003246621,21, [ 0.01703146  0.58210768]. ,0.414342020868,1.16776151885,21, [ 0.19791755  0.23865935]. ,1.20500593339,1.21783919921,21, [ 0.41119048  0.42748645]. ,0.476766218929,1.21967481427,21, [ 0.1596429  0.1924479]. ,1.18621056379,1.21988776397,21, [ 0.1867679   0.21854881]. ,1.21267558455,1.21995751344
