matern32,,,,SquaredExp,,,,RationalQuad,,,,Matern52,,,,Gamma,,,,Ensemble,,,
Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.
62, [ 0.20604913  0.20789181]. ,1.22003214409,1.22003246621,62, [ 0.50999183  0.45558884]. ,0.370991571618,1.16776151885,62, [ 0.17457187  0.18054118]. ,1.19578000272,1.21843822563,62, [ 0.67164292  0.38916462]. ,0.554451901262,1.22003182292,62, [ 0.19316959  0.15653005]. ,1.18165818001,1.21988776397,62, [ 0.22338243  0.17760683]. ,1.20167074335,1.21995751344
63, [ 0.20604977  0.20789354]. ,1.22003215097,1.22003246621,63, [ 0.41679051  0.86034306]. ,0.0623133302035,1.16776151885,63, [ 0.73012374  0.16243695]. ,0.450098588018,1.21843822563,63, [ 0.18149763  0.24445221]. ,1.19106015619,1.22003182292,63, [ 0.20434998  0.20282017]. ,1.21959709634,1.21988776397,63, [ 0.22110234  0.20843945]. ,1.21652215784,1.21995751344
64, [ 0.20605221  0.20789445]. ,1.22003215049,1.22003246621,64, [ 0.17250556  0.12173989]. ,1.11406869416,1.16776151885,64, [ 0.1964664   0.21236961]. ,1.21834519831,1.21843822563,64, [ 0.16562006  0.20407306]. ,1.19600427982,1.22003182292,64, [ 0.21211666  0.21686917]. ,1.21834232876,1.21988776397,64, [ 0.18006763  0.21318363]. ,1.20946200719,1.21995751344
65, [ 0.20605649  0.20789525]. ,1.22003214543,1.22003246621,65, [ 0.61125089  0.86551646]. ,0.118295096568,1.16776151885,65, [ 0.20570308  0.24531315]. ,1.19941075656,1.21843822563,65, [ 0.19234316  0.27072276]. ,1.15952686892,1.22003182292,65, [ 0.16854547  0.26909301]. ,1.14502505124,1.21988776397,65, [ 0.24119921  0.18815033]. ,1.19484890034,1.21995751344
66, [ 0.20605541  0.20789841]. ,1.22003216215,1.22003246621,66, [ 0.45256467  0.62617654]. ,0.20954307335,1.16776151885,66, [ 0.19519383  0.25300521]. ,1.18818614576,1.21843822563,66, [ 0.16093701  0.18124781]. ,1.18208017794,1.22003182292,66, [ 0.19394859  0.22668576]. ,1.21253866558,1.21988776397,66, [ 0.17299906  0.19805932]. ,1.20280590682,1.21995751344
67, [ 0.20605842  0.2079003 ]. ,1.22003216424,1.22003246621,67, [ 0.68499472  0.70264472]. ,0.151636196861,1.16776151885,67, [ 0.23835059  0.49899838]. ,0.51285774586,1.21843822563,67, [ 0.21147032  0.26574638]. ,1.17061322844,1.22003182292,67, [ 0.21541658  0.15418456]. ,1.17792882742,1.21988776397,67, [ 0.19183184  0.20446915]. ,1.21685589396,1.21995751344
68, [ 0.2060588   0.20789977]. ,1.22003216104,1.22003246621,68, [ 0.22110856  0.04948349]. ,0.950865695085,1.16776151885,68, [ 0.13732226  0.20240336]. ,1.15384754899,1.21843822563,68, [ 0.18669898  0.19840073]. ,1.2132604428,1.22003182292,68, [ 0.17500209  0.19147302]. ,1.20241610442,1.21988776397,68, [ 0.21719706  0.23417623]. ,1.20811558933,1.21995751344
69, [ 0.2060641   0.20789839]. ,1.2200321429,1.22003246621,69, [ 0.45419368  0.22511716]. ,0.626285331685,1.16776151885,69, [ 0.00972434  0.10361774]. ,0.829526053237,1.21843822563,69, [ 0.20605983  0.2081881 ]. ,1.22003222694,1.22003222694,69, [ 0.18803932  0.20937366]. ,1.21512138361,1.21988776397,69, [ 0.20189191  0.23397454]. ,1.20973539256,1.21995751344
70, [ 0.20606262  0.20790209]. ,1.22003216286,1.22003246621,70, [ 0.54063899  0.87706068]. ,0.0999565829602,1.16776151885,70, [ 0.24223633  0.23789815]. ,1.18716470296,1.21843822563,70, [ 0.17551145  0.24717474]. ,1.18315808407,1.22003222694,70, [ 0.25077256  0.16438838]. ,1.16179029066,1.21988776397,70, [ 0.18364047  0.18194487]. ,1.20350949174,1.21995751344
71, [ 0.20606116  0.20790443]. ,1.2200321764,1.22003246621,71, [ 0.9086522   0.03545902]. ,0.17645681627,1.16776151885,71, [ 0.90841706  0.96452902]. ,0.0512088178583,1.21843822563,71, [ 0.26547322  0.20874253]. ,1.16613145143,1.22003222694,71, [ 0.20745888  0.18888345]. ,1.21464139811,1.21988776397,71, [ 0.23307258  0.13607524]. ,1.13799853328,1.21995751344
72, [ 0.20606262  0.20790602]. ,1.22003217998,1.22003246621,72, [ 0.90075378  0.95352526]. ,0.0531041841285,1.16776151885,72, [ 0.18262462  0.19663856]. ,1.21023824613,1.21843822563,72, [ 0.20604823  0.20818803]. ,1.22003224811,1.22003224811,72, [ 0.20435773  0.2298771 ]. ,1.2128960655,1.21988776397,72, [ 0.22494406  0.21913458]. ,1.21280879575,1.21995751344
73, [ 0.20606381  0.20790385]. ,1.22003216783,1.22003246621,73, [ 0.15400471  0.85226443]. ,0.280626062452,1.16776151885,73, [ 0.17481855  0.23984725]. ,1.1901474145,1.21843822563,73, [ 0.26216391  0.21285077]. ,1.17162545837,1.22003224811,73, [ 0.15552601  0.21028955]. ,1.18290526421,1.21988776397,73, [ 0.20730911  0.19571974]. ,1.21777115151,1.21995751344
74, [ 0.20606797  0.20790287]. ,1.22003215358,1.22003246621,74, [ 0.68729262  0.43779012]. ,0.502840580614,1.16776151885,74, [ 0.14452906  0.19852876]. ,1.16577468566,1.21843822563,74, [ 0.24413682  0.1985524 ]. ,1.19615096716,1.22003224811,74, [ 0.1922972   0.18137155]. ,1.20740406632,1.21988776397,74, [ 0.20745166  0.212929  ]. ,1.2196535069,1.21995751344
75, [ 0.20606564  0.20790885]. ,1.220032185,1.22003246621,75, [ 0.29488277  0.99420421]. ,0.210287221049,1.16776151885,75, [ 0.23234788  0.23991965]. ,1.19467962429,1.21843822563,75, [ 0.18558024  0.21932818]. ,1.21170126043,1.22003224811,75, [ 0.21430662  0.20812533]. ,1.21897168774,1.21988776397,75, [ 0.19432856  0.22215153]. ,1.21490843578,1.21995751344
76, [ 0.2060693   0.20790812]. ,1.22003217301,1.22003246621,76, [ 0.92733284  0.43299993]. ,0.337279315081,1.16776151885,76, [ 0.19595624  0.17329135]. ,1.20173391395,1.21843822563,76, [ 0.25786425  0.56540339]. ,0.393396474763,1.22003224811,76, [ 0.22578     0.18406611]. ,1.20534824805,1.21988776397,76, [ 0.18984621  0.19549546]. ,1.2140118595,1.21995751344
77, [ 0.20606889  0.20790903]. ,1.22003217788,1.22003246621,77, [ 0.08288847  0.18896464]. ,1.0329752531,1.16776151885,77, [ 0.14755156  0.18556207]. ,1.16616676575,1.21843822563,77, [ 0.23143663  0.25174446]. ,1.18229982802,1.22003224811,77, [ 0.22402121  0.        ]. ,0.839635216323,1.21988776397,77, [ 0.18828963  0.2294807 ]. ,1.2082589405,1.21995751344
78, [ 0.27967813  0.54117788]. ,0.414416857449,1.22003246621,78, [ 0.45164103  0.60129441]. ,0.241674458847,1.16776151885,78, [ 0.15098325  0.24054915]. ,1.1601698708,1.21843822563,78, [ 0.26459103  0.21005292]. ,1.16766577501,1.22003224811,78, [ 0.26652951  0.20457511]. ,1.16398629779,1.21988776397,78, [ 0.20043282  0.22391938]. ,1.21576954362,1.21995751344
79, [ 0.20564417  0.20792099]. ,1.22003051594,1.22003246621,79, [ 0.27212847  0.10092698]. ,1.01644331343,1.16776151885,79, [ 0.96736606  0.79542933]. ,0.0516950150191,1.21843822563,79, [ 0.15718247  0.21046222]. ,1.18518668774,1.22003224811,79, [ 0.17052276  0.12524645]. ,1.11918692932,1.21988776397,79, [ 0.19628512  0.1855398 ]. ,1.21152266808,1.21995751344
80, [ 0.20567557  0.20791259]. ,1.22003080032,1.22003246621,80, [ 0.54557498  0.86219514]. ,0.0924249826834,1.16776151885,80, [ 0.46845428  0.39935037]. ,0.454227117054,1.21843822563,80, [ 0.20440377  0.24626572]. ,1.19829047316,1.22003224811,80, [ 0.24634544  0.19105585]. ,1.19048476674,1.21988776397,80, [ 0.16881268  0.22086215]. ,1.19679878742,1.21995751344
81, [ 0.20569856  0.20790226]. ,1.22003097078,1.22003246621,81, [ 0.36715915  0.77498829]. ,0.0787861561375,1.16776151885,81, [ 0.19874623  0.16159392]. ,1.18944341248,1.21843822563,81, [ 0.25270786  0.19785465]. ,1.18483881005,1.22003224811,81, [ 0.  1.]. ,0.270337161488,1.21988776397,81, [ 0.21492946  0.21545093]. ,1.21804002043,1.21995751344
82, [ 0.20572567  0.20789803]. ,1.22003118143,1.22003246621,82, [ 0.16010156  0.86079485]. ,0.276905853568,1.16776151885,82, [ 0.16898286  0.20304723]. ,1.19963610498,1.21843822563,82, [ 0.34515746  0.01758992]. ,0.711509452104,1.22003224811,82, [ 0.26018918  0.25232835]. ,1.14766196546,1.21988776397,82, [ 0.18183929  0.19141718]. ,1.20775723725,1.21995751344
83, [ 0.20574404  0.20789627]. ,1.22003131575,1.22003246621,83, [ 0.27089522  0.41896845]. ,0.694493550944,1.16776151885,83, [ 0.79029173  0.87076603]. ,0.0823305619203,1.21843822563,83, [ 0.23868888  0.19924188]. ,1.20227717317,1.22003224811,83, [ 0.22248517  0.22208478]. ,1.21306339736,1.21988776397,83, [ 0.22785097  0.22925643]. ,1.20625017674,1.21995751344
84, [ 0.20576564  0.20788872]. ,1.22003143574,1.22003246621,84, [ 0.71660436  0.31518246]. ,0.629549671762,1.16776151885,84, [ 0.00997921  0.69468079]. ,0.357749155824,1.21843822563,84, [ 0.22941868  0.15772032]. ,1.17539560703,1.22003224811,84, [ 0.14423542  0.18582573]. ,1.1610895914,1.21988776397,84, [ 0.19151356  0.21135674]. ,1.21665751023,1.21995751344
85, [ 0.20577983  0.2078851 ]. ,1.2200315121,1.22003246621,85, [ 0.75672881  0.91177417]. ,0.0865554716095,1.16776151885,85, [ 0.25645467  0.18081734]. ,1.16997141913,1.21843822563,85, [ 0.16274911  0.20208431]. ,1.19242148569,1.22003224811,85, [ 0.22336703  0.3017744 ]. ,1.09063623899,1.21988776397,85, [ 0.1989224  0.2005714]. ,1.21850099978,1.21995751344
86, [ 0.20579435  0.20788201]. ,1.22003158635,1.22003246621,86, [ 0.23001227  0.31009517]. ,1.06531653735,1.16776151885,86, [ 0.17140859  0.25795043]. ,1.16541604393,1.21843822563,86, [ 0.2060426   0.20815887]. ,1.22003236159,1.22003236159,86, [ 0.23614172  0.23077768]. ,1.19872913155,1.21988776397,86, [ 0.22249272  0.19515595]. ,1.21326109471,1.21995751344
87, [ 0.20580744  0.20787788]. ,1.22003164076,1.22003246621,87, [ 0.23622013  0.80399419]. ,0.263378665785,1.16776151885,87, [ 0.22071463  0.19286258]. ,1.21316820336,1.21843822563,87, [ 0.06207014  0.08985792]. ,0.908542044166,1.22003236159,87, [ 0.21889352  0.2335467 ]. ,1.20798968153,1.21988776397,87, [ 0.1951236   0.19221554]. ,1.21477419059,1.21995751344
88, [ 0.20582304  0.20787566]. ,1.22003171171,1.22003246621,88, [ 0.97173296  0.98986805]. ,0.0401184099483,1.16776151885,88, [ 0.17532871  0.20380613]. ,1.20590527034,1.21843822563,88, [ 0.16260041  0.23005437]. ,1.18467858103,1.22003236159,88, [ 0.20884731  0.17800236]. ,1.20687193534,1.21988776397,88, [ 0.20517656  0.21715084]. ,1.21879143103,1.21995751344
89, [ 0.20583157  0.20787657]. ,1.22003175796,1.22003246621,89, [ 0.90549643  0.09334452]. ,0.225014316066,1.16776151885,89, [ 0.91950786  0.74081504]. ,0.0717260337187,1.21843822563,89, [ 0.26598254  0.22633828]. ,1.16079630426,1.22003236159,89, [ 0.17268519  0.23288821]. ,1.19395227633,1.21988776397,89, [ 0.15901254  0.17494345]. ,1.17511430004,1.21995751344
90, [ 0.20583877  0.20787533]. ,1.22003178519,1.22003246621,90, [ 0.95787233  0.40748008]. ,0.303067353905,1.16776151885,90, [ 0.92284206  0.45154588]. ,0.323257865865,1.21843822563,90, [ 0.21776262  0.17662343]. ,1.20343220048,1.22003236159,90, [ 0.10349582  0.19995847]. ,1.08346932438,1.21988776397,90, [ 0.23033622  0.20450471]. ,1.21066647506,1.21995751344
91, [ 0.20584993  0.20787295]. ,1.22003182181,1.22003246621,91, [ 0.14582718  0.15731859]. ,1.14013049553,1.16776151885,91, [ 0.2299842   0.21533939]. ,1.21048347023,1.21843822563,91, [ 0.22540211  0.24032277]. ,1.19907349179,1.22003236159,91, [ 0.1870796   0.23964032]. ,1.19955695712,1.21988776397,91, [ 0.18047604  0.20533569]. ,1.21024201596,1.21995751344
92, [ 0.20585902  0.20787226]. ,1.22003185505,1.22003246621,92, [ 0.66281094  0.64890471]. ,0.190529439708,1.16776151885,92, [ 0.16133615  0.19062411]. ,1.18761618375,1.21843822563,92, [ 0.57187572  0.72146954]. ,0.12249851771,1.22003236159,92, [ 0.2257211   0.20010153]. ,1.21300859199,1.21988776397,92, [ 0.21151867  0.20602671]. ,1.21949541889,1.21995751344
93, [ 0.2058675   0.20787152]. ,1.22003188334,1.22003246621,93, [ 0.47682571  0.65118792]. ,0.165754178665,1.16776151885,93, [ 0.18682543  0.19751446]. ,1.21309196349,1.21843822563,93, [ 0.22885828  0.1909689 ]. ,1.20747520188,1.22003236159,93, [ 0.23886353  0.2072936 ]. ,1.20337287368,1.21988776397,93, [ 0.19904496  0.2127385 ]. ,1.21894773919,1.21995751344
94, [ 0.20587464  0.20786963]. ,1.22003189882,1.22003246621,94, [ 0.56016549  0.6252629 ]. ,0.207589948357,1.16776151885,94, [ 0.71555927  0.29410069]. ,0.621296490295,1.21843822563,94, [ 0.83400691  0.17111133]. ,0.408499231818,1.22003236159,94, [ 0.21868352  0.25429029]. ,1.1861198015,1.21988776397,94, [ 0.213559    0.18718174]. ,1.21270396612,1.21995751344
95, [ 0.20587966  0.20787043]. ,1.22003191985,1.22003246621,95, [ 0.13320218  0.13098249]. ,1.08624693172,1.16776151885,95, [ 0.1537315   0.19230516]. ,1.17819948772,1.21843822563,95, [ 0.22745811  0.25938   ]. ,1.17447325001,1.22003236159,95, [ 0.23090695  0.14001509]. ,1.14671688194,1.21988776397,95, [ 0.19642348  0.20445988]. ,1.21848290437,1.21995751344
96, [ 0.20588514  0.20786984]. ,1.22003193428,1.22003246621,96, [ 0.22619462  0.29796586]. ,1.09857193154,1.16776151885,96, [ 0.24146004  0.36068554]. ,0.905749109868,1.21843822563,96, [ 0.72618112  0.68228712]. ,0.155360512697,1.22003236159,96, [ 0.15714591  0.1662835 ]. ,1.16498426498,1.21988776397,96, [ 0.21758763  0.24797174]. ,1.19451643462,1.21995751344
97, [ 0.20589165  0.2078686 ]. ,1.22003194739,1.22003246621,97, [ 0.64713638  0.23303701]. ,0.520710911095,1.16776151885,97, [ 0.2083489   0.18294209]. ,1.21079636367,1.21843822563,97, [ 0.17335793  0.14548265]. ,1.15521855063,1.22003236159,97, [ 0.21628351  0.19692301]. ,1.21650546328,1.21988776397,97, [ 0.20539064  0.20339581]. ,1.21971117673,1.21995751344
98, [ 0.20589693  0.20786882]. ,1.2200319635,1.22003246621,98, [ 0.61030912  0.29537188]. ,0.52713755829,1.16776151885,98, [ 0.20378925  0.20394513]. ,1.21971853074,1.21971853074,98, [ 0.16293644  0.22064594]. ,1.19006411655,1.22003236159,98, [ 0.22318768  0.2089555 ]. ,1.21548021108,1.21988776397,98, [ 0.20277234  0.20756218]. ,1.21987217818,1.21995751344
99, [ 0.20590297  0.20786884]. ,1.22003197964,1.22003246621,99, [ 0.45726493  0.19009847]. ,0.616455424211,1.16776151885,99, [ 0.20608857  0.21760757]. ,1.21868089054,1.21971853074,99, [ 0.89636456  0.38193246]. ,0.448452543103,1.22003236159,99, [ 0.28608228  0.16072836]. ,1.09411925822,1.21988776397,99, [ 0.23420659  0.21278816]. ,1.20751517716,1.21995751344
100, [ 1.          0.40954795]. ,0.224516674759,1.22003246621,100, [ 0.12635922  0.18067113]. ,1.12676043249,1.16776151885,100, [ 0.06176934  0.75272747]. ,0.329555279556,1.21971853074,100, [ 0.62689568  0.01810944]. ,0.325221868525,1.22003236159,100, [ 0.18468672  0.22183966]. ,1.2101741,1.21988776397,100, [ 0.25234719  0.20262449]. ,1.18652287587,1.21995751344
